HQ671718	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671718
KJ501500	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501500
KX547226	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547226
KJ501471	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501471
DQ080051	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762
MF175819	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175819
JF920747	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920747
KX547212	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547212
KJ501339	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501339
KX547374	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547374
KR349020	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ501123	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501123
KJ501505	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501505
HM488144	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
HM488216	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501534	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501534
KX547600	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547600
KX547525	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547525
JF920760	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920760
MF175874	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175874
KX547337	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547337
JN183887	Henn et al	Submitted (23-JUN-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JN183887
KY229072	Ehrbar et al	Infect. Genet. Evol. 51 (2017) In press	High levels of local inter- and intra-host genetic variation of West Nile virus and evidence of fine-scale evolutionary pressures	https://www.ncbi.nlm.nih.gov/pubmed/28411164
HM488231	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501361	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501361
MH166898	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH166898
KJ501254	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501254
KX547507	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547507
KX547487	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547487
HM488143	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KM012174	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
KX547241	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547241
KX547615	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547615
HQ671709	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671709
KC736496	Duggal et al	Am. J. Trop. Med. Hyg. 89 (2), 205-210 (2013)	Sequence Analyses of 2012 West Nile Virus Isolates from Texas Fail to Associate Viral Genetic Factors with Outbreak Magnitude	https://www.ncbi.nlm.nih.gov/pubmed/23817333
KJ501250	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501250
KX547381	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547381
MH170248	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170248
MF175843	Aroh et al	Unpublished	2012 West Nile Virus differ in frequency of introductions into Texas and ability to overwinter, 2012-2015	https://www.ncbi.nlm.nih.gov/nuccore/MF175843
HM488189	Henn et al	Submitted (12-MAY-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM488189
KJ501494	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501494
KC736498	Duggal et al	Am. J. Trop. Med. Hyg. 89 (2), 205-210 (2013)	Sequence Analyses of 2012 West Nile Virus Isolates from Texas Fail to Associate Viral Genetic Factors with Outbreak Magnitude	https://www.ncbi.nlm.nih.gov/pubmed/23817333
HM488127	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KX547573	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547573
KX547311	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547311
DQ431693	Herring et al	Virology 363 (1), 220-228 (2007)	Phylogenetic analysis of WNV in North American blood donors during the 2003-2004 epidemic seasons	https://www.ncbi.nlm.nih.gov/pubmed/17321561
KX547491	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547491
JF920738	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920738
MG004533	Hepp et al	Unpublished	Evidence for persistent establishment of West Nile Virus in the Phoenix Metropolitan area	https://www.ncbi.nlm.nih.gov/nuccore/MG004533
HM756676	Henn et al	Submitted (24-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM756676
HM488164	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KR348974	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
MH170236	Swetnam et al	Emerging Infect. Dis. 24 (12) (2018) In press	Terrestrial Bird Migration and West Nile Virus Circulation, United States	https://www.ncbi.nlm.nih.gov/nuccore/MH170236
KJ501383	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501383
KJ501113	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501113
JF957184	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
KX547359	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547359
KX547235	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547235
KX547309	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547309
KX547409	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547409
KX547296	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547296
JF957177	Anez et al	PLoS Negl Trop Dis 7 (5), E2245 (2013)	Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis	https://www.ncbi.nlm.nih.gov/pubmed/23738027
JF488097	Henn et al	Submitted (24-FEB-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF488097
KX547402	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547402
KM012185	Grinev et al	PLoS Negl Trop Dis 10 (5), E0004717 (2016)	Genetic Variability of West Nile Virus in U.S. Blood Donors from the 2012 Epidemic Season	https://www.ncbi.nlm.nih.gov/pubmed/27182734
GQ507474	Pybus et al	Proc. Natl. Acad. Sci. U.S.A. 109 (37), 15066-15071 (2012)	Unifying the spatial epidemiology and molecular evolution of emerging epidemics	https://www.ncbi.nlm.nih.gov/pubmed/22927414
KJ501526	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501526
KJ501511	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501511
JF703161	Andrade et al	J. Gen. Virol. 92 (PT 11), 2523-2533 (2011)	North American West Nile virus genotype isolates demonstrate differential replicative capacities in response to temperature	https://www.ncbi.nlm.nih.gov/pubmed/21775581
JX015523	Mann et al	Virology 436 (1), 75-80 (2013)	Dynamic transmission of West Nile virus across the United States-Mexican border	https://www.ncbi.nlm.nih.gov/pubmed/23141421
JF920756	Henn et al	Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920756
HM488117	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501291	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501291
KX547218	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547218
KJ501344	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501344
KJ501537	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501537
KR349009	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ501104	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501104
HQ671712	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671712
KR348998	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HQ671719	Henn et al	Submitted (29-OCT-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HQ671719
KX547366	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547366
KJ501138	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501138
KJ501100	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501100
DQ164203	Davis et al	Virology 342 (2), 252-265 (2005)	Phylogenetic analysis of North American West Nile virus isolates, 2001-2004: evidence for the emergence of a dominant genotype	https://www.ncbi.nlm.nih.gov/pubmed/16137736
HM488150	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KR349017	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KR348925	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KR348981	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
KJ501105	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501105
KX547588	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547588
KR348950	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488215	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
KJ501226	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501226
KX547535	Shabman et al	Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547535
KR348924	Duggal et al	Virology 485, 79-85 (2015)	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076
HM488120	Armstrong et al	Virology 417 (1), 203-210 (2011)	Molecular evolution of West Nile virus in a northern temperate region: Connecticut, USA 1999-2008	https://www.ncbi.nlm.nih.gov/pubmed/21723580
